round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,mean_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,3",3,0.43999999999999995,0.23541877866933172,0.6262714505195618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6200831055641174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54.13456196774947,0.6999999999999998,0.6260474440946701,2.0133917331695557,2344752,2.2361297607421875,2344752,2.2361297607421875
2,"0,2,3",3,0.5299999999999999,0.6362599967036341,0.6901311278343201,0.725,0.7564102564102564,0.7250000000000001,0.7163120567375887,0.805,0.7250000000000001,0.9,0.55,0.6910143852233886,0.675,0.719435736677116,0.675,0.6576695194206715,0.7175,0.675,0.9,0.45,58.01343337779226,0.6999999999999998,0.5664311050982135,0.9099681377410889,2344752,2.2361297607421875,4689504,4.472259521484375
3,"1,2,3",3,0.4699999999999999,0.40952912999293867,0.6112143874168396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604523503780365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.026425986881385,0.6999999999999998,0.8755289550315181,0.9441177845001221,2344752,2.2361297607421875,7034256,6.7083892822265625
